t;G1;G2;G3;COI
0.01;1.18191783420869;4.9314259842830666;7.402244544474712;2.474505899515833
0.02;1.184341113340537;4.931425991976469;7.383502757296157;2.4745323318455807
0.03;1.190794863832778;4.93142601394041;7.333673604534141;2.47461042722783
0.04;1.2004498676130735;4.93142605120127;7.259379640089845;2.474750206194187
0.05;1.2132733724858016;4.931426108857196;7.161169610510144;2.4749782193609353
0.06;1.2292185087147798;4.931426193580534;7.03978913537888;2.4753288496956567
0.07;1.2482218262459097;4.931426313509845;6.8961905544146145;2.4758434477369913
0.08;1.2702005533949297;4.931426478124126;6.731542736239863;2.476569264094054
0.09;1.295049780814139;4.931426698094298;6.547239406852511;2.4775581936719244
0.1;1.3226397935206078;4.931426985122299;6.344904487405855;2.4788653534255185
0.11;1.3528137803668023;4.931427351763065;6.126392973170527;2.4805475240064836
0.12;1.3853861428259504;4.931427811243693;5.893786045294646;2.4826614948473487
0.13;1.420141602299195;4.9314283772801515;5.649379382677816;2.48526236111388
0.14;1.4568352673911995;4.931429063882578;5.395664021735416;2.4884018286048373
0.15;1.4951937710289804;4.931429885180452;5.135299575278299;2.4921265880138335
0.16;1.5349175247223443;4.931430855247139;4.871080136437906;2.496476822048519
0.17;1.5756840677031656;4.931431987931492;4.605893719914181;2.5014849071165925
0.18;1.6171524172772687;4.93143329671;4.342676586804119;2.5071743651938774
0.19;1.6589682592357475;4.931434794541896;4.084364216902255;2.5135591112338296
0.2;1.7007697592511315;4.931436493744104;3.833840994960271;2.520643027639481
0.21;1.7421937328503398;4.931438405869673;3.593890836167903;2.5284198807568727
0.22;1.7828818865535097;4.931440541594507;3.3671509759159304;2.5368735764551764
0.23;1.8224868379956414;4.931442910611852;3.156070990332795;2.545978734010036
0.24;1.8606776382885224;4.931445521519254;2.962878813310611;2.5557015411475716
0.25;1.897144553545969;4.93144838170529;2.7895551023558314;2.566000839540903
0.26;1.93160291070029;4.931451497225932;2.637816818760539;2.576829380202026
0.27;1.963795870666372;4.931454872667014;2.509110371111587;2.588135182591953
0.28;1.9934960542350704;4.931458510988316;2.4046141680806032;2.5998629300566782
0.29;2.0205060074964405;4.931462413356522;2.3252499745265043;2.6119553369451203
0.3;2.044657549503979;4.931466578945982;2.2717020930080856;2.6243544289101783
0.31;4.2171505070541535;7.498342895009807;-1.8616576336128772;4.298918094936251
0.31;4.451933723882458;2.7268263403989557;-14.487475321717357;2.3929833916113785
0.32;2.323192806867167;0.1114913361583091;-10.264411212879656;0.748500597730483
0.33;2.3830451711216205;0.0023961267658023622;-10.006946385299633;0.7936343248669424
0.34;2.4336278376075926;-0.1307957335065171;-9.679867127035298;0.8338114775856569
0.35;2.4761857949389614;-0.28746173641778283;-9.293058667174154;0.8691428287772157
0.36;2.511784014287597;-0.46671025658859794;-8.854343191647366;0.8998503917922555
0.37;2.5413021889864473;-0.6673268319090647;-8.369882415186318;0.9262373964812546
0.38;2.565441179645942;-0.8877221563540864;-7.84462989608911;0.9486617760650509
0.39;2.584737569095805;-1.1258933083453815;-7.282783800263098;0.9675128508696664
0.4;2.599583510320263;-1.3794082671324785;-6.688201113164295;0.9831907995067742
0.41;2.6102497342723345;-1.6454213035565632;-6.064744007861845;0.9960885903709046
0.42;2.6169101163794983;-1.9207234804806443;-5.416538466549876;1.0065762206295394
0.43;2.6196665739256253;-2.2018284975683127;-4.748134596669469;1.0149873006714207
0.44;2.618573305120717;-2.48508984700919;-4.064567412259731;1.0216081694796477
0.45;2.6136595242171246;-2.7668412132509674;-3.3713258428537753;1.0266697912463476
0.46;2.604949939328454;-3.043548798044077;-2.6742457455110773;1.030342649447393
0.47;2.592482300173065;-3.3119622684591183;-1.9793489277208958;1.0327347287599784
0.48;2.5763214413945668;-3.5692506260588144;-1.2926538971374402;1.033892485247633
