t;G1;G2;G3;COI
0.01;111.60923292850055;126.24450507373884;89.27381497938853;327.1275529816279
0.02;111.91506787714393;126.24450532149561;88.97223365155472;327.13180685019427
0.03;112.52581402724873;126.24450586164612;88.3712105088814;327.14153039777625
0.04;113.43955336446291;126.24450678274897;87.47506612505234;327.1591262722642
0.05;114.65323716981197;126.24450821586804;86.2903807077355;327.1881260934155
0.06;116.16249270490857;126.2445103324843;84.82610090163479;327.23310393902767
0.07;117.96138615673725;126.24451334177948;83.09366224886108;327.29956174737777
0.08;120.04215854091068;126.24451748735036;81.10711170125904;327.3937877295201
0.09;122.3949540773459;126.24452304342681;78.88321252591386;327.52268964668656
0.1;125.0075623993641;126.24453031068;76.44151308094055;327.69360579098463
0.11;127.86519662523055;126.24453961171892;73.80436142569106;327.91409766264053
0.12;130.9503286363681;126.24455128638054;70.99684965557195;328.19172957832063
0.13;134.2426007645538;126.24456568692418;68.04667520454976;328.5338416560277
0.14;137.7188294881072;126.24458317323717;64.98391100508316;328.9473236664275
0.15;141.3531117971795;126.24460410815314;61.840682072051294;329.43839797738394
0.16;145.117038871363;126.24462885296843;58.650752396230715;330.0124201205621
0.17;148.98001501109172;126.24465776322342;55.449032506343684;330.67370528065885
0.18;152.909672874622;126.24469118478984;52.27102414214491;331.42538820155676
0.19;156.87236955061647;126.24472945027702;49.15222362986296;332.2693226307565
0.2;160.83374239749128;126.2447728757398;46.127509284136295;333.20602455736736
0.21;164.75929939354756;126.24482175764216;43.230540119123305;334.23466127031304
0.22;168.61501632868124;126.24487637000442;40.493193147447585;335.35308584613324
0.23;172.3679127191608;126.24493696164137;37.94506458609574;336.5579142668979
0.24;175.98657983654488;126.24500375338401;35.61305657478523;337.8446401647141
0.25;179.44163751391744;126.24507693517218;33.5210659133936;339.2077803624832
0.26;182.7061010688325;126.24515666290615;31.689785327912688;340.64104305965134
0.27;185.7556452917168;126.24524305495504;30.136621422292237;342.1375097689641
0.28;188.56875846847237;126.24533618823615;28.875727300239646;343.68982195694815
0.29;191.12678532525683;126.24543609380093;27.918142311985264;345.29036373104304
0.3;193.41386315656428;126.24554275188932;27.27202684897813;346.9314327574317
0.31;195.41675988594196;126.24565608644284;26.942976789310563;348.6053927616954
0.31;213.30012096559008;5.178301299709517;-125.98669624499581;92.49172602030379
0.32;219.9327040436035;3.0112499425398482;-123.82799004626611;99.11596393987725
0.33;225.55891821678648;0.21591163781621958;-120.69136767477659;105.08346217982611
0.34;230.31246504787737;-3.1977098373474746;-116.7238125202012;110.3909426903287
0.35;234.3115449839444;-7.21397507412658;-112.04340812284028;115.05416178697755
0.36;237.65696006193343;-11.810421823584534;-106.74307664523337;119.10346159311553
0.37;240.43172045636018;-16.956311553400667;-100.8956066964252;122.57980220653431
0.38;242.70173898752265;-22.611222657094117;-94.55924707727971;125.53126925314882
0.39;244.51727335794087;-28.723991943031336;-87.78327494467447;128.01000647023506
0.4;245.9148524314814;-35.232268231379265;-80.6130708540546;130.06951334604753
0.41;246.91948872275898;-42.062878148613606;-73.09434895719835;131.76226161694703
0.42;247.54702961406116;-49.13311695562092;-65.27630265017746;133.13761000826278
0.43;247.80653446838545;-56.35297234135959;-57.213538291487254;134.2400238355386
0.44;247.70258637094008;-63.62817651263617;-48.96678294243989;135.10762691586402
0.45;247.23745971856582;-70.86387496709952;-40.60246239805119;135.7711223534151
0.46;246.4130726317449;-77.96861379006026;-32.19134485327905;136.2531139884056
0.47;245.23266006939755;-84.85829437252963;-23.806522999213882;136.56784269765404
0.48;243.70211244673442;-91.45973375505488;-15.521053507333079;136.72132518434645
0.49;241.83093703046995;-97.71350222575938;-7.405581672266891;136.71185313244368
0.5;239.63281558492878;-103.57578173961753;0.473750057222901;136.53078390253415
0.51;237.1257506783654;-109.01908722817464;8.05687228037209;136.16353573056284
0.52;234.3318129855071;-114.03180226201803;15.290683390444059;135.59069411393313
0.53;231.27652083557257;-118.61658479853648;22.129206623568876;134.78914266060497
0.54;227.9878993694679;-122.78778473434457;28.533034982410555;133.73314961753388
0.55;224.49527877553214;-126.56807459341454;34.46816304696149;132.3953672290791
0.56;220.82789871247763;-129.98452572010783;39.90435771752439;130.7477307098942
0.57;217.01338948765962;-133.0643679746756;44.81325110979181;128.7622726227758
0.58;213.07620071470862;-135.8306581656881;49.16635060027264;126.41189314929315
0.59;209.03604625343613;-138.29806021784586;52.93315840118122;123.67114443677148
0.6;204.9064315519102;-140.46891726575026;56.0795819161375;120.51709620229744
0.61;200.6933272297275;-142.32977979726647;58.566801714214435;116.93034914667545
0.62;196.39405167861568;-143.84854925272194;60.350749585742776;112.89625201163652
0.63;191.99642592478185;-144.97240431495018;61.38233543736392;108.40635704719558
0.64;187.47826568592086;-145.6266948792095;61.60854633721637;103.46011714392772
0.65;182.8072774355849;-145.71500976606356;60.97451853233787;98.0667862018592
