x1;x2;x3
0.7643925709010778 - 3.935608264231009im;1.5760124207851833e-5 - 1.5860016525279088e-6im;0.1039866703701092 + 0.5979961395383745im
1.5760124207851837e-5 - 1.586001652527909e-6im;3.00903292984062e-5 - 5.485463522404503im;1.1586591278331302e-5 - 9.920692173730249e-7im
0.10398667037010922 + 0.5979961395383745im;1.1586591278331302e-5 - 9.92069217373025e-7im;0.19256086841695533 - 2.8117389786781164im
